iso_code,language_name,longitude,latitude,area,continent,status,family,source
gbr,Gbagyi,6.90495,9.29842,Africa,Africa,not endangered,Atlantic-Congo,hyman_larry_m_essentials_1970
gby,Gbari,7.10757,8.46411,Africa,Africa,not endangered,Atlantic-Congo,rosendall_e_p_aspects_1998
gmm,Gbaya-Mbodomo,14.606865,4.800365,Africa,Africa,not endangered,Atlantic-Congo,boyd_virginia_l_phonology_1997
gbp,Gbaya-Bossangoa,17.645,6.61896,Africa,Africa,not endangered,Atlantic-Congo,samarin_william_j_gbeya_1966
kvq,Geba Karen,96.9492,19.4991,Eurasia,Asia,not endangered,Sino-Tibetan,shee_descriptive_2008
gdd,Gedaged,145.781,-5.18175,Papunesia,Pacific,not endangered,Austronesian,dempwolff_otto_grammar_nodate
drs,Gedeo,38.2395,6.18469,Africa,Africa,not endangered,Afro-Asiatic,eyob_kelemwork_wolde_grammar_2015
gez,Geez,40.6821,10.1342,Africa,Africa,extinct,Afro-Asiatic,butts_aaron_michael_geez_2019
nlg,Gela,160.186,-9.04587,Papunesia,Pacific,not endangered,Austronesian,crowley_terry_gela_2002
giu,Gelao Mulao,107.239537,26.574605,Eurasia,?,nearly extinct,Tai-Kadai,NA
gej,Gen,1.67727,6.25971,Africa,Africa,not endangered,Atlantic-Congo,noauthor_topics_1997
ges,Geser-Gorom,130.701,-3.8016,Papunesia,Asia,not endangered,Austronesian,chlenova_svetlana_zametki_2010
gha,Ghadames,10.0165,30.1168,Africa,Africa,shifting,Afro-Asiatic,kossmann_grammatical_2013
ghn,Ghanongga,156.552,-8.02035,Papunesia,Pacific,not endangered,Austronesian,chambers_mary_ruth_which_2009
gpe,Ghanaian Pidgin English,-0.283641,5.793241,Africa,?,not endangered,Indo-European,huber_magnus_ghanaian_2013
gri,Ghari,159.917,-9.4791,Papunesia,Pacific,not endangered,Austronesian,ivens_grammar_1934
gdo,Godoberi,46.2252,42.7428,Eurasia,Europe,shifting,Nakh-Daghestanian,saidova_patimat_a_ghodoberi_2004
gho,Ghomara,-4.6696,34.7979,Africa,Africa,shifting,Afro-Asiatic,mourigh_khalid_grammar_2015
ghl,Uncunwee,29.8122,11.6432,Africa,Africa,shifting,Nubian,williams_robert_s_ghulfan_nodate
gid,Gidar,14.07845,9.874715,Africa,Africa,not endangered,Afro-Asiatic,frajzyngier_grammar_2008
glk,Gilaki,49.8359,37.1344,Eurasia,Asia,not endangered,Indo-European,NA
gil,Gilbertese,176.44,-1.34,Papunesia,Pacific,not endangered,Austronesian,NA
niv,Nivkh,140.681,52.59,Eurasia,Asia,moribund,?,mattissen_dependent-head_2003
gim,Gimi (Eastern Highlands),145.214,-6.42097,Papunesia,Pacific,not endangered,Nuclear Trans New Guinea,haiman_john_comparative_1980
bbr,Girawa,145.423,-5.35342,Papunesia,Pacific,not endangered,Nuclear Trans New Guinea,gasaway_eileen_girawa_1992
?,Girirra,42.17,5.76,Africa,?,not endangered,Afro-Asiatic,mekonnen_grammar_2015
nyf,Giryama,39.6648,-3.30638,Africa,Africa,not endangered,Atlantic-Congo,taylor_william_ernest_giryama_1891
toh,Gitonga,35.1577,-23.7964,Africa,Africa,not endangered,Atlantic-Congo,lanham_leonard_walter_study_1955
git,Gitxsan,-128.08,55.09,North America,Americas,moribund,Tsimshian,forbes_clarissa_persistent_2018
glw,Glavda,13.8652,11.1334,Africa,Africa,not endangered,Afro-Asiatic,buba_bello_glavda_2007
gom,Goan Konkani,74.2098,15.2732,Eurasia,Asia,not endangered,Indo-European,bhide_vasudha_v_descriptive_1982
god,Godié,-5.82696,5.3944,Africa,Africa,not endangered,Atlantic-Congo,kokora_dago_pascal_studies_1976
gdx,Godwari,72.846,24.885,Eurasia,Asia,threatened,Indo-European,baldota_an_descriptive_1982
ank,Goemai,9.72453,8.74455,Africa,Africa,threatened,Afro-Asiatic,hellwig_grammar_2011
gof,Gofa,37.05,6.57645,Africa,?,not endangered,Ta-Ne-Omotic,cheru_sellassie_documentation_2015
gog,Gogo,35.4807,-6.35951,Africa,Africa,not endangered,Atlantic-Congo,cordell_oliver_t_gogo_1941
gvf,Golin,144.8505,-6.2249,Papunesia,Pacific,not endangered,Nuclear Trans New Guinea,evans_nicholas_materials_2005
gjn,Gonja,-0.72757,8.48801,Africa,Africa,not endangered,Atlantic-Congo,painter_gonja_1970
gni,Gooniyandi,126.351,-18.4073,Australia,Pacific,moribund,Bunaban,mcgregor_functional_1990
gow,Gorowa,35.7996,-4.23575,Africa,Africa,not endangered,Afro-Asiatic,harvey_andrew_gorwaa_2018
got,Gothic,29.9786,46.9304,Eurasia,?,extinct,Indo-European,jasanoff_jay_h_gothic_2008
gux,Gourmanchéma,1.28489,11.6711,Africa,Africa,not endangered,Atlantic-Congo,beckett_eleanor_linguistic_1974
goz,Gozarkhani,50.6987,36.4133,Eurasia,Asia,shifting,Indo-European,noauthor_dialect_1931
kbk,Grass Koiari,147.437,-9.51218,Papunesia,Pacific,shifting,Koiarian,dutton_dictionary_2003
giq,Hagei Gelao,104.698,22.5632,Eurasia,Asia,moribund,Tai-Kadai,NA
gcl,Grenadian Creole English,-61.6989,12.0067,North America,Americas,not endangered,Indo-European,kephart_broken_2000
gcf,Guadeloupean Creole French,-61.405914,16.304875,North America,Americas,not endangered,Indo-European,colot_serge_guadeloupean_2013
guh,Guahibo,-68.9839,5.81736,South America,Americas,threatened,Guahiboan,kondo_victor_f_tagmemic_1976
?,Guaicurian,-110.3,24.1666666667,North America,?,extinct,?,zamponi_raoul_fragments_2004
gvc,Kotiria,-69.5705,1.07554,South America,Americas,shifting,Tucanoan,stenzel_reference_2013
gae,Baniva de Maroa,-66.922505,1.80835,South America,Americas,shifting,Arawakan,NA
gta,Guató,-57.2897,-17.8696,South America,Americas,nearly extinct,?,pimentel_palacio_adair_aspects_1986
?,Gubeeher-Gufangor-Gubelor,-17.19,12.56,Africa,?,shifting,Atlantic-Congo,cobbinah_alexander_yao_nominal_2013
gde,Gude,13.403,10.2138,Africa,Africa,not endangered,Afro-Asiatic,hoskison_james_t_grammar_1983
ngu,Central Guerrero Nahuatl,-99.0023,17.8583,North America,Americas,not endangered,Uto-Aztecan,NA
amu,Guerrero Amuzgo,-98.18953,16.77226,North America,Americas,threatened,Otomanguean,hart_helen_l_hierarchical_1957
gdc,Gugu Badhun,144.46,-18.4921,Australia,Pacific,nearly extinct,Pama-Nyungan,sutton_peter_john_gugu-badhun_1973
kky,Guugu Yimidhirr,144.831,-14.9424,Australia,Pacific,moribund,Pama-Nyungan,haviland_john_guugu_1979
ghs,Guhu-Samane,147.228,-7.99922,Papunesia,Pacific,not endangered,Nuclear Trans New Guinea,gamudze_titus_tentative_2013
gcr,Guianese Creole French,-52.7336,4.94804,South America,Americas,not endangered,Indo-European,jennings_william_inheritance_2018
zgn,Guibian Zhuang,107.184,23.6818,Eurasia,Asia,not endangered,Tai-Kadai,luo_zhuang_2004
zgb,Guibei Zhuang,107.184,23.6818,Eurasia,Asia,not endangered,Tai-Kadai,NA
gqi,Guiqiong,102.128,30.4803,Eurasia,Asia,shifting,Sino-Tibetan,NA
guj,Gujarati,71.0962,22.687,Eurasia,Asia,not endangered,Indo-European,modi_parsi_2011
gju,Gujari,73.1461,34.3768,Eurasia,Asia,not endangered,Indo-European,losey_wayne_e_writing_2002
afb,Gulf Arabic,47.5,30.17,Eurasia,Asia,not endangered,Afro-Asiatic,al-bahri_khaled_waleed_grammar_2014
?,Gulf Coast French,?,?,North America,?,?,Indo-European,moreton_rebecca_larche_mississippi_2001
gul,Sea Island Creole English,-79.6036,33.6632,North America,Americas,not endangered,Indo-European,klein_thomas_b_gullah_2013
gvs,Gumawana,150.762,-9.28497,Papunesia,Pacific,not endangered,Austronesian,ross_position_1992
guk,Northern Gumuz,35.93,11.05,Africa,Africa,not endangered,Gumuz,bender_lionel_m_gumuz_1979
guw,Gun,2.76767,6.48529,Africa,Africa,not endangered,Atlantic-Congo,aboh_enoch_syntax_1999
gup,Bininj Kun-Wok,133.358,-12.3398,Australia,Pacific,shifting,Gunwinyguan,evans_nicholas_bininj_2003
guf,Gupapuyngu,135.337,-12.2868,Australia,Pacific,shifting,Pama-Nyungan,wal_anita_van_der_structure_1992
hac,Gurani,44.4956,36.8377,Eurasia,Asia,threatened,Indo-European,mahmoudveysi_parvin_hawrami_2018
gge,Guragone,134.09501,-12.66855,Australia,Pacific,nearly extinct,Maningrida,green_rebecca_grammar_1995
gdj,Gurdjar,141.145,-17.1653,Australia,Pacific,nearly extinct,Pama-Nyungan,black_paul_kurtjar_1986
gnr,Gureng Gureng,151.175,-25.3893,Australia,Pacific,nearly extinct,Pama-Nyungan,brasch_sarah_l_gure_1975
gue,Gurindji,130.379,-17.0329,Australia,Pacific,shifting,Pama-Nyungan,NA
gvr,Gurung,86.28988,27.41687,?,Asia,shifting,Sino-Tibetan,glover_conversational_1979
grd,Guruntum-Mbaaru,10.162,9.87332,Africa,Africa,threatened,Afro-Asiatic,haruna_grammatical_2003
guz,Gusii,34.76751,-0.78872,Africa,Africa,not endangered,Atlantic-Congo,ongarora_david_ogoti_bantu_2008
gwe,Gweno,37.6827,-3.68407,Africa,Africa,shifting,Atlantic-Congo,philippson_gerard_gweno_2000
gwi,Gwich'in,-142.963,67.4307,North America,Americas,moribund,Athabaskan-Eyak-Tlingit,firth_william_g_gwichlanguage_1992
haq,Ha,30.4894,-3.77873,Africa,Africa,not endangered,Atlantic-Congo,harjula_ha_2004
hdy,Hadiyya,37.7577,7.57377,Africa,Africa,not endangered,Afro-Asiatic,garkebo_tadesse_sibamo_documentation_2014
hoj,Hadothi,75.8366,24.8546,Eurasia,Asia,not endangered,Indo-European,dwivedi_grammar_2012
ayh,Hadrami Arabic,48.6524,15.4468,Eurasia,Asia,not endangered,Afro-Asiatic,al-saqqaf_abdullah_hassan_shaikh_descriptive_1999
hts,Hadza,35.0458,-3.83115,Africa,Africa,shifting,?,sands_bonny_hadza_2013
hat,Haitian,-72.136115,18.795135,North America,Americas,not endangered,Indo-European,syea_french_2017
cnh,Haka Chin,92.8208,22.8735,Eurasia,Asia,shifting,Sino-Tibetan,NA
hak,Hakka Chinese,116,25,Eurasia,Asia,not endangered,Sino-Tibetan,NA
hal,Halang,107.457,14.7862,Eurasia,Asia,threatened,Austroasiatic,cooper_james_bai_1971
hlb,Halbi,81.3742,20.3081,Eurasia,Asia,not endangered,Indo-European,NA
khk,Halh Mongolian,106.289,48.324,Eurasia,Asia,shifting,Mongolic,janhunen_mongolian_2012
hla,Halia,154.662,-5.26603,Papunesia,Pacific,not endangered,Austronesian,summer_institute_of_linguistics_halia_1987
hur,Halkomelem,-122.029,48.0751,North America,Americas,shifting,Salishan,suttles_musqueam_2004
amf,Hamer-Banna,36.5176,5.06515,Africa,Africa,threatened,South Omotic,petrollino_sara_grammar_2016
hmt,Hamtai,146.227,-7.54975,Papunesia,Pacific,not endangered,Angan,oates_kapau_1968
wos,Hanga Hundi,142.849,-3.90364,Papunesia,Pacific,threatened,Ndu,wendel_thomas_dewayne_preliminary_1993
hni,Hani,102.851673333,22.67753,Eurasia,Asia,not endangered,Sino-Tibetan,NA
haa,Han,-140.352,64.5002,North America,Americas,nearly extinct,Athabaskan-Eyak-Tlingit,reuse_willem_joseph_de_han_2010
lml,Hano,168.167,-15.5432,Papunesia,Pacific,not endangered,Austronesian,vari-bogiri_hannah_phonology_2011
har,Harari,42.1332,9.30485,Africa,Africa,not endangered,Afro-Asiatic,mitiku_cherinet_beniam_harari_2013
hro,Haroi,108.995,13.2201,Eurasia,Asia,not endangered,Austronesian,goschnick_haroi_1977
bgc,Haryanvi,76.0432,29.0166,Eurasia,Asia,not endangered,Indo-European,singh_jag_deva_grammatical_nodate
hrz,Harzani,48.2848,38.4341,Eurasia,Asia,threatened,Indo-European,karimzadeh_jafar_verbal_1372
mey,Hassaniyya,-2.40278,20.1464,Africa,Africa,nearly extinct,Afro-Asiatic,taine-cheikh_catherine_hassaniya_2006
had,Hatam,134.037,-1.13531,Papunesia,Asia,threatened,Hatam-Mansim,NA
hau,Hausa,8.7804,11.1513,Africa,Africa,not endangered,Afro-Asiatic,miyamoto_ritsuko_note_1989
yuf,Havasupai-Walapai-Yavapai,-113.385,35.6302,North America,Americas,shifting,Cochimi-Yuman,watahomigie_hualapai_1982
haw,Hawaiian,-155.43,19.6297,Papunesia,Americas,moribund,Austronesian,elbert_hawaiian_2001
hwc,Hawai'i Creole English,-155.437,19.6287,North America,Americas,not endangered,Indo-European,velupillai_viveka_hawaii_2013
xda,Hawkesbury,150.4952383,-33.11470744,Australia,?,extinct,Pama-Nyungan,jones_darkinyung_2008
hay,Haya,31.4846,-1.70878,Africa,Africa,not endangered,Atlantic-Congo,byarushengo_haya_1977
haz,Hazaragi,64.5105,33.3708,Eurasia,Asia,not endangered,Indo-European,dulling_hazaragi_1973
xed,Hdi,13.6881,10.942,Africa,Africa,not endangered,Afro-Asiatic,frajzyngier_grammar_2002
heb,Modern Hebrew,35.0179,31.1056,Eurasia,Asia,not endangered,Afro-Asiatic,keenan_handbook_2012
hei,Heiltsuk-Oowekyala,-127.221,51.7045,North America,Americas,nearly extinct,Wakashan,rath_john_c_practical_1981
scp,Lamjung-Melamchi Yolmo,85.6289,27.9212,Eurasia,Asia,shifting,Sino-Tibetan,gawne_sketch_2016
